2746,16038
2723,16215
2639,16093
2617,16040
2240,14023
2216,13947
2224,13880
2199,13606
2145,13609
2769,16269
2652,16234
2620,16115
2497,15945
2307,14879
2723,15833
2710,15688
2594,15149
2550,15147
2607,15791
2418,14970
2714,16379
2728,16625
2648,15822
2642,15847
2676,15880
2450,15083
2622,15994
2521,15877
2460,15708
2434,15708
2395,15386
2220,14456
2202,14332
2746,16492
2674,16450
2593,16031
2574,15859
2416,15443
2387,15437
2336,14940
2382,14979
2602,16163
2587,16143
2481,16146
2074,13445
2672,16159
2454,15931
2359,15696
2318,15348
2216,14681
2201,14590
2182,14447
2195,14478
2714,16498
2625,16633
2379,15133
2273,14713
2229,14283
2548,15831
2582,16226
2604,16551
2569,16264
2783,16431
2774,16690
2590,15114
2525,15076
2506,14958
2526,15132
2548,15365
2393,14635
2520,15844
2489,15871
2511,16129
2539,16161
2523,15780
2495,15782
2474,15762
2345,14798
2261,14413
2277,14315
2257,14177
2695,16683
2657,16664
2440,15328
2429,15202
2723,16527
2673,16501
2593,16658
2573,16699
2542,16701
2524,16665
2305,15187
2222,14651
2224,14360
2794,16600
2669,15518
2554,15277
2488,15240
2382,15158
2380,15284
2385,15246
2267,14209
2549,16673
2627,16583
2490,15601
2392,15068
2572,16742
2477,16222
2437,15522
2198,14557
2123,14076
2532,16010
2346,15433
2375,15573
2353,15039
2430,15270
2521,15644
2380,14272
2362,15352
2344,15208
2714,16860
2640,16358
2474,15735
2718,16700
2604,15762
2579,15706
2532,15691
2407,15259
2311,14648
2219,14004
2186,13802
2625,16263
2542,15498
2518,15357
2626,15499
2610,15471
2543,15408
2670,16345
2623,16309
2371,15508
2283,15208
2251,14955
2160,14032
2693,16712
2504,16017
2456,15832
2443,15733
2402,15704
2764,16737
2599,16378
2557,16401
2382,14937
2346,15276
2685,16760
2633,16421
2111,13367
2099,13233
2063,12871
2036,12559
2023,12537
2024,12511
2002,12244
2756,16148
2718,16119
2722,16240
2728,16305
2694,16283
2625,16212
2515,15988
2489,15985
2721,15807
2652,15754
2431,15614
2361,15309
2290,14774
2726,16334
2698,16311
2708,16601
2591,16110
2522,15953
2321,15240
2288,15044
2270,14806
2682,16477
2620,15886
2585,15883
2544,15443
2530,15291
2527,15264
2549,15311
2511,15912
2459,15504
2347,14699
2380,14819
2355,14566
2652,16067
2570,16007
2700,16806
2628,16712
2405,15530
2401,15497
2658,16809
2293,14926
2309,15092
2301,15067
2197,13970
2134,13579
2354,14252
2178,13579
2727,16745
2554,15470
2339,14082
2220,13439
2191,13141
2166,12932
2200,12981
2349,15390
2286,14899
2280,14841
2659,16014
2336,14331
2192,13295
2185,13240
2310,14052
2317,14100
2779,16362
2347,15466
2325,15497
2271,15073
2337,15182
2678,15984
2560,16142
2555,16190
2502,16048
2440,15872
2451,16027
2476,16025
2558,15773
2459,15667
2425,15656
2450,15899
2394,15751
2718,15776
2622,15813
2532,15811
2574,15597
2338,15638
2303,15453
2115,14229
2257,15168
2281,15245
2257,15207
2246,15111
2216,14772
2198,14624
2208,14713
2566,15961
2774,16311
2734,16465
2680,15737
2629,15740
2598,15519
2603,15570
2608,15627
2581,15622
2584,15650
2802,16863
2531,15721
2474,15153
2720,16409
2650,16737
2457,15399
2216,13640
2179,13478
2144,13107
2752,16864
2596,16078
2512,15452
2364,14440
2306,14463
2670,15905
2679,15672
2632,15686
2311,14807
2329,14901
2150,13469
2129,13408
2066,13070
2084,12960
2433,14941
2262,13353
2235,13360
2092,13022
2817,16817
2449,15298
2228,13786
2394,14499
2375,14475
2316,14231
2595,15346
2570,15327
2645,15540
2602,15424
2619,15592
2552,15525
2490,14984
2464,14805
2450,14885
2398,14876
2380,14846
2606,15968
2560,15557
2518,15510
2769,16541
2689,15809
2643,15778
2451,14910
2811,16731
2488,15835
2248,14920
2110,13674
2316,14437
2594,15836
2710,16568
2102,13142
2164,13425
2170,13341
2118,12983
2072,12794
2063,12722
2050,12610
2760,16812
2544,16318
2551,15988
2336,15069
2165,14210
2768,16458
2583,16579
2116,13185
2827,16921
2738,16194
2506,15222
2367,15227
2202,14196
2716,15744
2494,15274
2579,16199
2584,16292
2513,16168
2574,16370
2580,16332
2339,14298
2404,15617
2645,15710
2548,16354
2557,16430
2526,16431
2528,16456
2262,14666
2278,14742
2325,14378
2477,15383
2617,16686
2547,15634
2415,15129
2208,14064
2676,16552
2609,16608
2311,15149
2529,15209
2504,15191
2479,15210
2520,16267
2492,16267
2523,16332
2517,16296
2510,16243
2523,15324
2300,13870
2263,13496
2211,13053
2143,13076
2692,15935
2707,16946
2669,16908
2649,16933
2619,16954
2624,16926
2656,16861
2193,13507
2584,16532
2612,16445
2554,16519
2660,16279
2812,16949
2636,16537
2607,16513
2602,16784
2523,16206
2708,16776
2474,15451
2620,16392
2492,15717
2371,15416
2738,15955
2614,15853
2428,15071
2424,15377
2566,16103
2331,15410
2581,15983
2568,16167
2538,16048
2330,14721
2754,17074
2573,16780
2546,16738
2463,16082
2473,15326
2403,15106
2280,14233
2744,16722
2189,14017
2688,15564
2685,15851
2422,14886
2625,15944
2451,14840
2241,13558
2257,13761
2231,14566
2718,16889
2567,16462
2528,16398
2432,15779
2424,15589
2463,14947
2439,14994
2361,14137
2693,16410
2381,15641
2412,15897
2320,15046
2570,15494
2522,15392
2522,15482
2450,15970
2413,15924
2688,16380
2614,15320
2421,15966
2351,15560
2370,15728
2406,16043
2409,16075
2384,16090
2589,16625
2205,14432
2197,14405
2454,15628
2505,16716
2403,15859
2258,14765
2659,16524
2503,15143
2252,13856
2044,12704
2213,13552
2204,13484
2698,16356
2304,14509
2367,15617
2578,16060
2474,14655
2348,14392
2825,16892
2232,14176
2674,16256
2285,14579
2724,16675
2204,14228
2403,15671
2229,14136
2424,15840
2621,16813
2501,16379
2084,13469
2052,13181
1981,12411
2745,16352
2313,15322
2327,14525
2253,14690
2270,14872
2188,14353
2474,16190
2670,15780
2610,16235
2509,15670
2667,15638
2280,15009
2462,15354
2558,15894
2150,13714
2146,13748
2605,15684
2440,16059
2550,16642
2199,14802
2083,13681
2073,13653
2208,14253
2080,13263
2429,15498
2356,15121
2143,13274
2101,12906
2427,15099
2147,13498
2263,14116
2305,15015
2574,15798
2472,14680
2458,14704
2463,14755
2719,16091
2648,16330
2116,13540
2725,16270
2120,13460
2116,13508
2578,15931
2389,15808
2706,15974
2476,16110
2237,14800
2221,14856
2125,13226
2706,16446
2668,16425
2662,16377
2423,15748
2299,15485
2575,16490
2546,16477
2303,14330
2294,14195
2216,14306
2780,16837
2752,16107
2688,15478
2458,15012
2404,14441
2273,13645
2558,15246
2515,15005
2372,14041
2382,14159
2511,15621
2405,15284
2135,13021
2169,13071
2743,16006
2310,14294
